PID, BUS, Root, BusTime, QueueTime
[people-15, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-3, bus-Bus_1, BusStop_4->BusStop_3, 4, 4]
[people-24, bus-Bus_1, BusStop_4->BusStop_3, 4, 3]
[people-34, bus-Bus_1, BusStop_4->BusStop_3, 4, 2]
[people-39, bus-Bus_1, BusStop_4->BusStop_3, 4, 2]
[people-40, bus-Bus_1, BusStop_4->BusStop_3, 4, 2]
[people-66, bus-Bus_1, BusStop_4->BusStop_3, 4, 1]
[people-14, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-6, bus-Bus_0, BusStop_3->BusStop_4, 4, 8]
[people-9, bus-Bus_0, BusStop_3->BusStop_4, 4, 8]
[people-43, bus-Bus_0, BusStop_3->BusStop_4, 4, 6]
[people-20, bus-Bus_2, BusStop_1->BusStop_4, 12, 0]
[people-52, bus-Bus_2, BusStop_2->BusStop_4, 4, 6]
[people-54, bus-Bus_2, BusStop_2->BusStop_4, 4, 6]
[people-73, bus-Bus_2, BusStop_2->BusStop_4, 4, 5]
[people-75, bus-Bus_2, BusStop_2->BusStop_4, 4, 5]
[people-5, bus-Bus_0, BusStop_3->BusStop_2, 8, 8]
[people-8, bus-Bus_0, BusStop_3->BusStop_2, 8, 8]
[people-41, bus-Bus_0, BusStop_3->BusStop_2, 8, 6]
[people-1, bus-Bus_0, BusStop_4->BusStop_2, 4, 12]
[people-21, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-22, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-26, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-35, bus-Bus_0, BusStop_4->BusStop_2, 4, 10]
[people-37, bus-Bus_0, BusStop_4->BusStop_2, 4, 10]
[people-38, bus-Bus_0, BusStop_4->BusStop_2, 4, 10]
[people-32, bus-Bus_1, BusStop_4->BusStop_0, 12, 2]
[people-33, bus-Bus_1, BusStop_4->BusStop_0, 12, 2]
[people-65, bus-Bus_1, BusStop_4->BusStop_0, 12, 1]
[people-88, bus-Bus_1, BusStop_4->BusStop_0, 12, 0]
[people-4, bus-Bus_1, BusStop_3->BusStop_0, 8, 8]
[people-42, bus-Bus_1, BusStop_3->BusStop_0, 8, 6]
[people-45, bus-Bus_1, BusStop_3->BusStop_0, 8, 6]
[people-46, bus-Bus_1, BusStop_3->BusStop_0, 8, 6]
[people-47, bus-Bus_1, BusStop_3->BusStop_0, 8, 6]
[people-10, bus-Bus_2, BusStop_2->BusStop_1, 8, 8]
[people-12, bus-Bus_2, BusStop_2->BusStop_1, 8, 8]
[people-16, bus-Bus_2, BusStop_2->BusStop_1, 8, 8]
[people-74, bus-Bus_2, BusStop_2->BusStop_1, 8, 5]
[people-2, bus-Bus_2, BusStop_4->BusStop_1, 4, 12]
[people-23, bus-Bus_2, BusStop_4->BusStop_1, 4, 11]
[people-25, bus-Bus_2, BusStop_4->BusStop_1, 4, 11]
[people-36, bus-Bus_2, BusStop_4->BusStop_1, 4, 10]
[people-64, bus-Bus_2, BusStop_4->BusStop_1, 4, 9]
[people-17, bus-Bus_3, BusStop_1->BusStop_0, 8, 8]
[people-18, bus-Bus_3, BusStop_1->BusStop_0, 8, 8]
[people-19, bus-Bus_3, BusStop_1->BusStop_0, 8, 8]
[people-55, bus-Bus_3, BusStop_1->BusStop_0, 8, 6]
[people-57, bus-Bus_3, BusStop_1->BusStop_0, 8, 6]
[people-91, bus-Bus_3, BusStop_4->BusStop_0, 4, 8]
[people-11, bus-Bus_0-Bus_3, BusStop_2->BusStop_4->BusStop_0, 16, 0]
[people-48, bus-Bus_1, BusStop_3->BusStop_4, 12, 6]
[people-60, bus-Bus_1, BusStop_0->BusStop_4, 4, 13]
[people-61, bus-Bus_1, BusStop_0->BusStop_4, 4, 13]
[people-63, bus-Bus_1, BusStop_0->BusStop_4, 4, 13]
[people-87, bus-Bus_1, BusStop_0->BusStop_4, 4, 12]
[people-27, bus-Bus_0, BusStop_2->BusStop_3, 8, 15]
[people-29, bus-Bus_0, BusStop_2->BusStop_3, 8, 15]
[people-50, bus-Bus_0, BusStop_2->BusStop_3, 8, 14]
[people-51, bus-Bus_0, BusStop_2->BusStop_3, 8, 14]
[people-53, bus-Bus_0, BusStop_2->BusStop_3, 8, 14]
[people-77, bus-Bus_0, BusStop_2->BusStop_3, 8, 13]
[people-58, bus-Bus_1, BusStop_0->BusStop_3, 8, 13]
[people-62, bus-Bus_1, BusStop_0->BusStop_3, 8, 13]
[people-86, bus-Bus_1, BusStop_0->BusStop_3, 8, 12]
[people-90, bus-Bus_1, BusStop_4->BusStop_3, 4, 16]
[people-56, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_3, 8, 14]
[people-81, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_3, 8, 13]
[people-82, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_3, 8, 13]
[people-83, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_3, 8, 13]
[people-67, bus-Bus_2, BusStop_4->BusStop_2, 12, 9]
[people-30, bus-Bus_2, BusStop_1->BusStop_2, 8, 15]
[people-31, bus-Bus_2, BusStop_1->BusStop_2, 8, 15]
[people-80, bus-Bus_2, BusStop_1->BusStop_2, 8, 13]
[people-84, bus-Bus_2, BusStop_1->BusStop_2, 8, 13]
[people-89, bus-Bus_3, BusStop_4->BusStop_1, 12, 8]
[people-93, bus-Bus_3, BusStop_4->BusStop_1, 12, 8]
[people-94, bus-Bus_3, BusStop_4->BusStop_1, 12, 8]
[people-85, bus-Bus_3, BusStop_0->BusStop_1, 8, 12]
[people-76, bus-Bus_0, BusStop_2->BusStop_4, 12, 13]
[people-79, bus-Bus_0, BusStop_2->BusStop_4, 12, 13]
[people-69, bus-Bus_0, BusStop_3->BusStop_4, 4, 21]
[people-97, bus-Bus_0, BusStop_3->BusStop_4, 4, 20]
[people-44, bus-Bus_0, BusStop_3->BusStop_2, 8, 22]
[people-92, bus-Bus_0, BusStop_4->BusStop_2, 4, 24]
[people-59, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 8, 21]
[people-13, bus-Bus_0-Bus_1, BusStop_2->BusStop_4->BusStop_0, 24, 8]
[people-28, bus-Bus_2-Bus_1, BusStop_2->BusStop_4->BusStop_0, 16, 15]
[people-49, bus-Bus_1, BusStop_3->BusStop_0, 8, 22]
[people-71, bus-Bus_1, BusStop_3->BusStop_0, 8, 21]
[people-78, bus-Bus_2, BusStop_2->BusStop_1, 8, 21]
[people-7, bus-Bus_0-Bus_2, BusStop_3->BusStop_4->BusStop_1, 8, 24]
[people-68, bus-Bus_0-Bus_2, BusStop_3->BusStop_4->BusStop_1, 8, 21]
[people-70, bus-Bus_0-Bus_2, BusStop_3->BusStop_4->BusStop_1, 8, 21]
[people-72, bus-Bus_0-Bus_2, BusStop_3->BusStop_4->BusStop_1, 8, 21]
[people-95, bus-Bus_0-Bus_2, BusStop_3->BusStop_4->BusStop_1, 8, 20]
[people-96, bus-Bus_0-Bus_2, BusStop_3->BusStop_4->BusStop_1, 8, 20]
[people-98, bus-Bus_1, BusStop_3->BusStop_4, 12, 20]
[people-100, bus-Bus_1, BusStop_3->BusStop_4, 12, 20]
[people-99, bus-Bus_1-Bus_2, BusStop_3->BusStop_4->BusStop_1, 16, 28]
Finish Steps, 49
